datetime,shape,duration (seconds),latitude,longitude 
11/09/12,light,7200,55.3422222,-131.6461111
12/05/13,light,960,55.3422222,-131.6461111
04/11/14,fireball,120,55.3422222,-131.6461111
04/10/10,oval,540,55.316667,-3.45
11/30/11,other,300,55.166667,-118.8
09/27/12,sphere,20,55.166667,-118.8
04/22/14,triangle,4,55.166667,-118.8
05/12/10,other,20,55.1325,-1.585556
06/29/10,light,60,55.125795,-120.993154
07/11/10,cigar,300,55.104155,10.228725
03/01/13,oval,60,55.1,-105.3
05/13/11,oval,900,55.07203,-6.51699
08/22/12,disk,4,55.066667,-114.033333
09/21/12,fireball,420,54.988056,-1.619444
01/02/10,changing,900,54.911944,-1.383333
02/10/10,flash,600,54.911944,-1.383333
08/20/12,unknown,30,54.906869,-1.383801
05/11/12,cigar,300,54.892473,-2.932931
04/22/12,fireball,45,54.878567,-100.022032
04/11/13,cone,432000,54.866667,-1.8
01/01/10,circle,3600,54.827269,-7.463579
01/01/10,sphere,300,54.787715,-6.492315
10/21/12,light,600,54.766667,-1.566667
12/11/12,other,360,54.766667,-1.566667
03/14/13,formation,120,54.766667,-1.566667
04/27/14,,180,54.766667,-1.566667
08/11/12,diamond,120,54.727161,-100.484267
09/15/10,diamond,2700,54.65,-1.666667
04/07/10,light,420,54.583333,-2.833333
03/08/10,light,300,54.555598,-6.021992
07/31/13,circle,600,54.55,-3.6
01/10/14,unknown,20,54.5,-128.583333
02/15/10,light,300,54.465,-110.183056
10/05/13,fireball,180,54.416667,-7.2
07/17/11,circle,300,54.41336,-6.97469
10/03/11,circle,120,54.316667,-130.333333
11/07/12,unknown,3,54.267778,-110.750833
01/03/13,other,180,54.25,-4.366667
01/10/13,unknown,180,54.203611,-110.306667
01/01/10,other,180,54.2,-5.883333
01/20/11,sphere,12,54.2,-3.266667
10/25/10,light,90,54.116667,-114.4
08/30/10,fireball,300,54.1,-5.883333
02/19/12,fireball,240,54.095,-0.208056
04/24/11,disk,300,53.983333,-1.533333
12/28/13,triangle,10,53.983333,-1.533333
06/05/10,teardrop,60,53.954115,-1.064262
08/28/12,light,2400,53.954115,-1.064262
02/22/13,flash,2,53.945188,-8.085522
08/21/12,triangle,5400,53.917064,-122.749669
07/27/13,sphere,30,53.916667,-122.766667
12/31/13,formation,900,53.9,27.566667
04/17/14,oval,2,53.899645,-110.21629
08/23/11,circle,1200,53.888996,-2.633778
12/01/12,sphere,60,53.888996,-2.633778
01/10/14,light,900,53.845,-2.204
08/06/10,circle,10,53.816667,-101.233333
08/03/13,flash,3,53.816667,-101.233333
09/15/11,disk,60,53.816667,-3.05
06/05/10,light,2700,53.8,-1.583333
04/19/11,cylinder,5,53.8,-1.583333
09/21/12,unknown,30,53.766667,-2.883333
01/29/10,disk,120,53.760861,-98.813876
09/07/13,circle,180,53.75174,-105.249716
